"";"mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%";"Rhat";"n.eff"
"BI.SP[29,8,9]";0,0787500000000001;0,670558171697886;0;0;0;0;0;1,0024028229223;2000
"BI.SP[30,8,9]";0,0607500000000001;0,538590268421759;0;0;0;0;0;1,01618295066414;1500
"BI.SP[31,8,9]";0,0630000000000001;0,565854305937283;0;0;0;0;0;1,01600770430946;2000
"BI.SP[32,8,9]";0,0720000000000004;0,599579642644686;0;0;0;0;0;1,00939472109514;2000
"BI.SP[33,8,9]";0,0697499999999998;0,573955268139356;0;0;0;0;0;1,01424646500536;2000
"BI.SP[34,8,9]";0,0697499999999998;0,591341508681704;0;0;0;0;0;1,0017173461855;2000
"BI.SP[35,8,9]";0,0720000000000001;0,616243359346745;0;0;0;0;0;1,00163105853042;2000
"BI.SP[36,8,9]";0,0855000000000002;0,706533328776752;0;0;0;0;0;1,00603891454178;2000
"BI.SP[37,8,9]";0,0494999999999999;0,567195385473701;0;0;0;0;0;1,01579028045244;2000
"BI.SP[38,8,9]";0,0810000000000002;0,66269040983679;0;0;0;0;0;1,02420280530726;2000
"BI.SP[39,8,9]";0,0517499999999999;0,479908422041938;0;0;0;0;0;1,00256698880634;2000
"BI.SP[40,8,9]";0,108;0,731678670482082;0;0;0;0;0;1,02768517310963;1300
"BI.SP[41,8,9]";0,0787500000000002;0,670558171697886;0;0;0;0;0;1,00715819925318;2000
"BI.SP[42,8,9]";0,108;0,717700178886272;0;0;0;0;0;1,0266022868343;980
"BI.SP[43,8,9]";0,0517499999999999;0,539529872891086;0;0;0;0;0;1,00777662717033;2000
"BI.SP[44,8,9]";0,0720000000000002;0,599579642644687;0;0;0;0;0;1,00015033987415;2000
"BI.SP[45,8,9]";0,0630000000000001;0,565854305937291;0;0;0;0;0;1,01585269956645;2000
"BI.SP[46,8,9]";0,0585000000000001;0,529356079524426;0;0;0;0;0;1,0149527850408;1700
"BI.SP[47,8,9]";0,0562499999999998;0,500085973098865;0;0;0;0;0;1,03353144322704;1100
"BI.SP[48,8,9]";0,0674999999999998;0,600103167718638;0;0;0;0;0;1,02251968845705;2000
"BI.SP[49,8,9]";0,0765000000000003;0,663225213514918;0;0;0;0;0;1,01648546906512;2000
"BI.SP[50,8,9]";0,0945;0,883861049700468;0;0;0;0;0;1,09630606477964;2000
"BI.SP[51,8,9]";0,0945000000000002;0,719603129740411;0;0;0;0;0;1,05432315587729;790
"BI.SP[52,8,9]";0,0855000000000003;0,646644279656307;0;0;0;0;0;1,02096128129325;1400
"BI.SP[53,8,9]";0,0787500000000003;0,623592712782722;0;0;0;0;0;1,01088362512842;2000
"BI.SP[54,8,9]";0,0584999999999997;0,548158726095371;0;0;0;0;0;1,0202799631495;2000
"BI.SP[55,8,9]";0,0742500000000003;0,624144787575697;0;0;0;0;0;1,02041786611521;2000
"BI.SP[56,8,9]";0,0720000000000003;0,599579642644686;0;0;0;0;0;1,02772971736695;1500
"BI.SP[57,8,9]";0,054;0,510356965384108;0;0;0;0;0;1,0042040754932;2000
"BI.SP[58,8,9]";0,0675000000000002;0,616752739735282;0;0;0;0;0;1,05596997148892;1300
"BI.SP[59,8,9]";0,11025;0,778314090783378;0;0;0;0;0;1,0082922280785;2000
"BI.SP[1,9,9]";3,757775;1,96831009286794;1,09;2,18;3,27;4,36;8,72;1,00218596695087;1100
"BI.SP[2,9,9]";0,76954;1,14948242410299;0;0;0;1,09;3,27;1,00221263846886;2000
"BI.SP[3,9,9]";0,828945;1,16007246370021;0;0;0;1,09;3,27;1,00164263562213;2000
"BI.SP[4,9,9]";2,164195;1,3757709928936;1,09;1,09;2,18;3,27;5,45;1,00239663605137;1000
"BI.SP[5,9,9]";4,513145;1,92449629824949;2,18;3,27;4,36;5,45;8,72;1,00144770510515;1700
"BI.SP[6,9,9]";2,691755;1,5949573080124;1,09;1,09;2,18;3,27;6,54;1,00220925109088;1100
"BI.SP[7,9,9]";4,55947;2,03139496451354;1,09;3,27;4,36;5,45;9,81;1,00217692497363;1100
"BI.SP[8,9,9]";4,31204;1,90752967817976;1,09;3,27;4,36;5,45;8,72;1,0010853045262;2000
"BI.SP[9,9,9]";3,442765;1,69864952532298;1,09;2,18;3,27;4,36;7,63;1,00065920084536;2000
"BI.SP[10,9,9]";4,557835;2,09592189908847;2,18;3,27;4,36;5,45;9,81;1,00275394474615;950
